id,user_id,course_id,course_module_id,progress_current,steps_done,is_achieved,course_progress_id,time_created,time_achieved,time_unlocked,tasks_done
5768653,1929,721,4,0.0,0,False,401908,2021-09-14 09:07:08.207262,,2021-11-23 08:50:16.513941,0
5679098,2419,721,4,10.0,15,True,394590,2021-09-08 15:16:07.007432,2021-09-08 15:16:20.204267,2021-09-08 15:16:20.204267,10
5679094,2419,721,0,7.0,9,True,394590,2021-09-08 15:16:07.007432,2021-09-08 15:16:20.204267,2021-09-08 15:16:20.204267,7
5679107,2419,721,12,7.0,14,True,394590,2021-09-08 15:16:07.007432,2021-09-08 15:16:20.204267,2021-09-08 15:16:20.204267,7
5679104,2419,721,9,3.0,4,False,394590,2021-09-08 15:16:07.007432,,2021-09-08 15:16:20.204267,3
5679106,2419,721,11,7.0,13,True,394590,2021-09-08 15:16:07.007432,2021-09-08 15:16:20.204267,2021-09-08 15:16:20.204267,7
5679099,2419,721,5,7.0,12,True,394590,2021-09-08 15:16:07.007432,2021-09-08 15:16:20.204267,2021-09-08 15:16:20.204267,7
6993472,1902,721,4,9.0,12,True,480700,2021-10-31 16:09:48.968228,2021-10-31 16:09:56.776223,2021-10-31 16:09:56.776223,9
6993480,1902,721,12,0.0,0,False,480700,2021-10-31 16:09:48.968228,,2021-10-31 16:09:56.776223,0
5596217,2753,721,11,7.0,12,True,388241,2021-09-04 15:52:08.507191,2021-09-04 15:52:13.119311,2021-09-04 15:52:13.119311,7
5596205,2753,721,0,7.0,9,True,388241,2021-09-04 15:52:08.507191,2021-09-04 15:52:13.119311,2021-09-04 15:52:13.119311,7
5596215,2753,721,9,6.0,7,True,388241,2021-09-04 15:52:08.507191,2021-09-04 15:52:13.119311,2021-09-04 15:52:13.119311,6
5596216,2753,721,10,0.0,0,False,388241,2021-09-04 15:52:08.507191,,2021-09-04 15:52:13.119311,0
5596206,2753,721,1,0.0,0,False,388241,2021-09-04 15:52:08.507191,,2021-09-04 15:52:13.119311,0
5596218,2753,721,12,7.0,14,True,388241,2021-09-04 15:52:08.507191,2021-09-04 15:52:13.119311,2021-09-04 15:52:13.119311,7
5596209,2753,721,4,10.0,15,True,388241,2021-09-04 15:52:08.507191,2021-09-04 15:52:13.119311,2021-09-04 15:52:13.119311,10
5596210,2753,721,5,7.0,13,True,388241,2021-09-04 15:52:08.507191,2021-09-04 15:52:13.119311,2021-09-04 15:52:13.119311,7
5686938,228,721,4,10.0,18,True,395189,2021-09-09 05:28:21.107372,2021-09-30 10:54:16.928681,2021-09-21 08:34:05.843658,10
5686947,228,721,12,7.0,18,True,395189,2021-09-09 05:28:21.107372,2021-11-02 09:24:46.939741,2021-09-30 10:54:16.928681,7
5686939,228,721,5,1.0,3,False,395189,2021-09-09 05:28:21.107372,,2021-11-02 09:24:46.939741,1
6583542,1753,721,4,10.0,18,True,454845,2021-10-12 08:24:04.013517,2021-10-14 06:13:08.911747,2021-10-13 07:43:08.320725,10
6583550,1753,721,12,7.0,18,True,454845,2021-10-12 08:24:04.013517,2021-11-25 14:02:39.092420,2021-10-14 06:13:08.911747,7
6583543,1753,721,5,7.0,16,True,454845,2021-10-12 08:24:04.013517,2021-11-28 10:15:15.808750,2021-11-25 14:02:39.092420,7
6583538,1753,721,0,7.0,13,True,454845,2021-10-12 08:24:04.013517,2021-11-29 12:11:16.594829,2021-11-28 20:33:12.925637,7
6583549,1753,721,11,7.0,16,True,454845,2021-10-12 08:24:04.013517,2021-11-28 20:33:12.925637,2021-11-28 10:15:15.808750,7
5766611,428,721,11,6.0,7,True,401746,2021-09-14 07:05:18.117442,2021-10-25 16:29:25.740376,2021-10-25 16:05:04.789142,6
5766612,428,721,12,7.0,8,True,401746,2021-09-14 07:05:18.117442,2021-10-25 15:49:34.799673,2021-10-25 15:34:09.173969,7
5766604,428,721,5,7.0,8,True,401746,2021-09-14 07:05:18.117442,2021-10-25 16:05:04.789142,2021-10-25 15:49:34.799673,7
5766599,428,721,0,5.0,6,True,401746,2021-09-14 07:05:18.117442,2021-10-25 16:57:38.549146,2021-10-25 16:29:25.740376,5
5766603,428,721,4,10.0,13,True,401746,2021-09-14 07:05:18.117442,2021-10-25 15:34:09.173969,2021-09-14 07:42:29.707432,10
5766600,428,721,1,0.0,0,False,401746,2021-09-14 07:05:18.117442,,2021-11-23 07:42:23.297993,0
5766610,428,721,10,0.0,0,False,401746,2021-09-14 07:05:18.117442,,2021-11-23 07:42:23.297993,0
5766609,428,721,9,6.0,8,True,401746,2021-09-14 07:05:18.117442,2021-11-23 07:42:23.297993,2021-11-08 16:49:12.452896,6
5740607,2646,721,4,10.0,16,True,399545,2021-09-12 12:25:16.219240,2021-09-12 12:26:22.014059,2021-09-12 12:26:22.014059,10
5740616,2646,721,12,6.0,16,True,399545,2021-09-12 12:25:16.219240,2021-11-14 16:36:32.018261,2021-09-12 12:26:22.014059,6
